10,1291.82,1303.52,1289.85,1294.19,1293.044,1294.511,1295.425,1296.626,1310.827,1282.598,1296.117,51.364,51.348,51.397,-2.228,-2.573,0.691,0.044,0.045,0.003,-3.557,89.222,81.975,93.256,79.337,21.684,13.804,17.742,19.233,49.4,48.289,48.432,54.258,56.67,-9.119,-13.634,1294.187,1307.421,1280.954,81.959,84.106,41.667,-0.068,0.067,0.123,-11.51,0.032,1297.269,1298.528,-1.086,-0.328,51.348,53.165,100,0.516,-0.014,-67085.742,-67039.016,1294.511,1300.554,1288.468,-0.406,99.068,12.744,1366.318,1222.448,1315.457,1334.003,1352.55,1277.307,1257.703,1238.1,-0.423,-0.501,-0.428,-14.21,-4.426,13.67,14.965,0,0.002,49.906,51.895,0.004,-32.104,-95.686,1299.986,1286.102,1952.134,1953.588,1952.956,1.265,1.271
10,1176.65,1177.95,1168.49,1170.3,1176.752,1163.654,1147.679,1137.909,1127.588,1150.538,1179.583,76.128,81.21,65.964,13.221,9.601,7.241,-0.369,0.962,2.223,74.542,162.062,126.21,99.938,101.86,32.565,11.903,38.225,32.19,58.869,60.757,57.764,24.431,22.879,28.981,17.331,1141.924,1186.94,1096.907,130.321,121.776,50,0.594,0.477,0.372,13.28,30.96,1135.97,1130.293,5.061,3.845,81.21,74.474,0,0.702,0.164,-78163.555,-78072.711,1163.654,1167.407,1159.901,0.565,102.132,-184.284,1228.123,1096.193,1239.923,1259.227,1278.53,1152.943,1085.267,1017.59,0.328,0.228,0.059,56.38,24.276,9.46,16.455,0.001,-0.001,65.699,63.698,0.02,664.6,1747.479,1185.371,1168.133,1860.782,1865.44,1847.412,1.036,1.011
12,255.7,259.3,253.75,258.7,259.19,260.88,263.188,263.718,267.253,268.515,273.968,22.492,20.519,26.437,-2.188,-1.633,-1.11,-0.267,-1.274,-1.758,-124.447,73.617,74.236,71.557,74.015,13.259,35.068,34.8,31.408,38.159,37.161,39.429,66.89,67.541,-5.826,-4.039,263.358,269.061,257.655,78.995,89.973,25,-0.524,-0.345,-0.253,-1.95,-5.292,264.887,265.757,-2.598,-1.885,20.519,28.498,100,-0.93,-0.215,-10569.57,-10498.635,260.88,267.014,254.746,-2.329,98.071,7.503,275.73,246.743,260.75,272.2,283.65,245.8,242.3,238.8,-0.318,-0.176,-0.105,-6.9,-3.127,5.55,2.882,0.001,0,44.492,41.016,-0.025,-217.999,-323.683,260.684,257.696,-118.158,-118.818,-117.263,0.736,0.752
10,394.25,396.5,392.7,394.85,394.71,399.84,410.337,410.933,406.391,406.282,386.003,13.241,14.081,11.56,-4.74,-1.991,-5.499,-0.194,-2.066,-4.085,-73.911,77.803,100.259,137.689,133.049,12.094,38.074,52.536,40.644,32.739,36.278,42.483,83.43,86.182,-6.959,3.129,411.875,434.411,389.339,71.295,76.377,33.333,-0.567,-0.597,-0.556,-3.9,-15.125,411.957,412.992,-6.655,-6.161,14.081,25.536,89.3,-0.824,-0.071,-11541.348,-11445.382,399.84,405.569,394.111,-1.215,100.413,23.714,424.846,377.706,400.217,428.833,457.45,366.067,360.533,355,-0.395,-0.051,0.222,-28.15,-9.128,3.8,6.379,-0.002,-0.001,40.745,38.815,-0.058,-498.999,-945.789,398.449,390.971,20.442,20.642,27.122,1.24,1.303
10,1231.89,1242.15,1230.05,1237.1,1242.528,1240.241,1236.387,1236.674,1228.961,1155.004,1148.912,37.698,45.878,21.339,2.698,3.211,-1.027,-0.3,-0.358,0.299,-34.102,93.37,96.201,93.768,106.207,26.241,17.214,25.434,22.684,47.829,49.968,52.624,62.311,53.898,2.724,3.931,1234.312,1258.904,1209.719,99.935,104.725,41.667,0.195,0.224,0.175,3,-1.447,1236.155,1235.339,-0.302,1.132,45.878,52.254,22.696,-0.06,0.177,-79518.258,-79362.414,1240.241,1246.018,1234.464,-1.727,100.487,-69.195,1314.579,1172.259,1249.127,1282.793,1316.46,1202.767,1190.073,1177.38,-0.192,-0.2,-0.21,-3.75,6.808,12.1,17.789,0.005,0.004,42.857,44.589,-0.014,-314.099,-84.841,1252.406,1232.65,1827.402,1842.71,1851.942,0.888,0.86
12,362.95,367.9,361.1,367.75,365.95,367.74,366.125,362.405,362.431,372.31,354.241,41.317,42.867,38.216,1.612,2.064,-0.903,0.364,-0.119,0.982,-61.541,129.016,142.219,153.053,103.665,25.661,19.728,29.508,43.646,55.637,55.729,52.657,49.363,29.135,7.16,6.954,363.402,376.012,350.792,126.859,122.003,58.333,-0.065,0.033,0.257,-1.6,-3.542,362.95,360.87,-0.068,0.462,42.867,57.16,71.59,-0.475,0.092,-842.611,-811.693,367.74,373.265,362.215,0.431,101.828,86.262,388.805,347.054,371.367,381.283,391.2,355.667,349.883,344.1,0.438,0.519,0.551,-0.25,4.779,6.8,4.996,-0.006,-0.002,53.446,50.943,-0.006,1.001,-180.708,368.5,363.4,30,26.16,27.685,1.063,1.077
10,1336.55,1345.8,1322.9,1331.7,1331.34,1341.59,1357.671,1370.77,1374.987,1337.727,1259.484,26.563,22.191,35.306,-14.393,-10.831,-7.124,-0.016,-0.987,-2.563,-71.866,77.308,78.059,82.815,104.356,4.858,25.383,52.998,48.929,41.271,39.568,43.176,72.052,79.622,-34.886,-19.889,1368.85,1425.42,1312.28,85.499,83.829,41.667,-0.59,-0.575,-0.504,-10.4,-26.125,1372.904,1380.346,-3.064,-3.211,22.191,24.115,90.601,-0.605,-0.22,-29114.814,-28935.299,1341.59,1346.839,1336.341,-2.582,98.282,77.25,1424.409,1265.908,1358.933,1411.967,1465,1280.433,1254.967,1229.5,-0.524,-0.406,-0.327,-42.1,-28.139,22.9,22.642,-0.003,0,40.84,38.026,-0.026,-989.001,-1620.689,1344.934,1317.746,1303.939,1308.25,1323.9,1.29,1.385
10,384.9,385.25,382,383.4,385.13,386.3,386.768,386.928,385.124,388.301,390.514,18.461,25.226,4.933,-0.337,0.169,-1.012,-0.515,-0.853,-0.913,-194.869,76.043,114.088,131.443,148.607,7.205,33.188,31.141,21.671,13.847,29.738,40.266,81.333,82.716,0.826,2.087,387.056,389.664,384.447,81.034,78.344,25,-0.574,-0.364,-0.186,-3.1,-2.633,386.872,386.7,-1.007,-0.372,25.226,41.242,0,-0.965,-0.007,-2879.696,-2828.14,386.3,392.279,380.321,-1.555,100.416,-42.092,406.686,366.382,385.1,391.05,397,377.6,376.05,374.5,-0.585,-0.075,0.269,-3.9,-0.142,3.25,1.636,0,-0.001,40.489,44.035,-0.014,-289.999,-179.081,386.021,384.239,75.361,76.221,77.251,1.097,1.118
10,289.2,290,287.1,287.6,290.22,288.04,284.217,284.425,288.293,294.273,296.096,59.399,70.153,37.891,1.033,-0.024,2.114,-0.548,0.358,1.197,48.84,111.43,101.196,74.547,66.851,34.225,19.827,14.585,17.742,51.159,53.004,50.539,35.067,35.067,0.938,-4.191,284.167,293.218,275.117,123.352,122.574,58.333,0.517,0.371,0.249,1.8,5.217,284.129,284.168,4.052,3.549,70.153,67.021,0,0.59,-0.073,-7711.216,-7690.637,288.04,293.657,282.423,-0.893,98.939,-44.973,304.594,271.292,299.967,308.433,316.9,279.767,268.033,256.3,0.108,0.075,-0.143,11.2,2.532,2.9,4.539,-0.001,0,47.779,52.209,0.01,-44,298,292.606,287.834,8.223,11.223,10.573,0.736,0.728
10,591,598.5,589.7,595.8,588.6,590.61,584.265,585.16,603.29,615.566,589.37,64.193,62.48,67.621,-0.931,-3.005,4.149,0.932,1.312,1.665,88.173,106.697,98.856,72.108,67.192,31.77,17.159,16.034,19.142,62.207,55.433,50.221,19.162,22.718,-6.346,-16.859,586.023,606.223,565.823,95.701,107.532,66.667,0.235,0.157,0.048,6.4,4.433,586.978,588.307,4.07,3.089,62.48,60.462,100,0.468,-0.093,-15884.579,-15876.244,590.61,595.444,585.776,1.108,97.275,81.264,624.403,554.605,619.333,626.867,634.4,587.133,562.467,537.8,-0.079,-0.003,-0.109,23.3,0.575,8.8,10.511,-0.006,-0.003,57.769,55.951,0.011,519,309.875,594.622,582.578,408.141,396.281,396.076,1.003,1.043
