6,953.4,948.95,944.1,947.85,941.69,928.71,930.305,932.157,933.691,926.625,1.161,-2.142,6.607,79.758,68.149,102.976,122.492,117.886,0.965,2.154,1.925,117.9,77.613,78.484,102.95,23.054,13.103,17.311,19.154,41.667,72.24,60.49,54.901,14.072,19.003,-10.991,-12.127,930.435,950.875,909.994,0.286,0.085,-0.111,1.755,0.558,42.857,-0.356,0.086,-0.199,-0.336,1914.001,1346.014,9.3,13.029,10.22,904.8,143.235,27.85,21.85,931.805,934.664,79.758,68.149,87.339,0.627,-0.099,-26658.545,-26889.357,928.71,936.452,920.968,99.133,39.72,980.605,874.19,992.1,998.55,1005,942,898.35,854.7,16.35,-3.455,0,0,63.287,58.552,948.449,934.931,614.077,611.127,593.782
7,370.1,367.65,367,369.25,370.74,371.76,377.767,383.077,381.366,366.013,-4.699,-4.052,-1.295,44.45,43.379,46.593,73.504,66.921,-0.525,-0.519,-3.103,63.887,67.159,70.312,134.769,7.634,27.018,62.357,55.208,50,36.597,38.474,43.526,76.923,89.888,-11.94,-9.416,381.863,407.707,356.02,-0.521,-0.444,-0.473,-1.599,-2.827,42.857,-41.964,-0.508,-0.462,-0.477,-251.001,-233.235,3.1,5.38,12.922,390.773,-108.831,-1.75,0.05,382.81,386.226,44.45,43.379,44.345,-0.128,-0.033,-535.592,-463.561,371.76,377.054,366.466,97.918,-10.232,392.356,350.935,372.817,381.333,389.85,360.267,356.233,352.2,-6,-11.057,-0.001,0.003,46.336,48.305,372.754,368.726,29.385,29.245,29.586
6,378,374,372.98,376.3,373.51,375.22,371.39,365.587,350.66,340.158,5.916,7.053,-2.273,46.412,47.749,43.737,110.718,139.982,0.59,0.269,2.066,151.946,204.264,233.22,207.337,28.573,11.564,58.35,71.913,66.667,57.345,60.009,63.191,42.131,23.771,20.609,23.376,367.581,386.624,348.537,-0.095,0.06,0.276,0.952,1.466,57.143,28.734,0.424,0.558,0.698,107.999,-43.359,5.02,7.937,9.522,365.906,18.216,-4.45,-2.4,364.208,359.509,46.412,47.749,51.512,-0.277,0.365,2.87,28.215,375.22,383.934,366.506,106.943,45.735,397.945,353.032,385.77,393.81,401.85,367.72,357.71,347.7,3.55,11.628,0.005,0.003,52.756,51.097,377.326,369.694,14.725,11.349,12.927
6,274.1,272.3,272,273.5,273.2,274.51,272.945,271.223,270.577,268.015,1.094,1.427,-0.665,25.435,32.808,10.69,121.554,109.847,0.043,-0.458,0.592,114.609,133.726,142.58,99.212,23.292,13.998,47.218,59.406,33.333,49.712,53.001,53.338,69.811,45.679,4.131,4.23,271.519,279.597,263.442,-0.165,0.1,0.33,-0.834,0.892,35.714,13.095,0.474,0.465,0.522,-101.001,-125.104,2.1,3.189,4.039,280.9,-80.969,-1.3,-2.75,271.467,270.249,25.435,32.808,44.055,-0.467,0.095,-10624.633,-10603.467,274.51,280.331,268.689,101.451,13.697,290.104,259.526,276.1,283.8,291.5,265.5,262.6,259.7,-2.3,3.168,-0.001,0.001,44.748,45.587,274.669,271.731,-120.571,-121.991,-119.996
6,290.8,289.5,288.75,289.2,290.74,290.405,285.9,281.67,276.002,272.928,4.156,4.332,-0.35,50.302,62.413,26.079,126.927,141.948,-0.63,-0.317,1.934,166.444,151.787,152.979,133.94,33.911,5.275,83.098,82.767,41.667,50.359,58.366,59.432,36.552,21.901,12.887,12.451,282.985,299.17,266.799,0.065,0.205,0.293,0,3.318,42.857,43.629,0.356,0.397,0.369,-120.499,79.944,2.05,4.739,8.093,283.1,-0.116,-0.05,1.825,281.504,278.519,50.302,62.413,0,-0.051,0.161,-10165.998,-10125.551,290.405,295.637,285.173,104.361,-22.094,306.967,273.899,292.917,297.833,302.75,284.667,281.333,278,0,8.775,0.001,0,56.64,56.461,292.668,288.812,-108.521,-106.381,-108.576
6,596.5,588.7,586.75,594.8,588.14,579.27,564.84,562.147,559.208,527.658,10.015,6.493,7.044,92.445,90.077,97.18,103.3,99.274,1.131,3.556,5.793,128.813,121.168,100.409,89.43,36.644,7.39,64.415,48.341,58.333,80.655,72.956,65.029,3.276,2.703,19.557,6.63,562.554,595.158,529.949,0.747,0.679,0.611,7.871,6.335,50,61.685,0.18,0.026,-0.108,1552.997,1562.093,9.75,9.279,16.302,564.119,106.182,21.8,27.55,558.425,554.909,92.445,90.077,100,0.961,0.291,-11785.508,-11915.563,579.27,584.184,574.356,102.213,104.441,610.732,542.844,640.767,644.583,648.4,588.867,540.783,492.7,43.4,16.899,-0.002,0.002,74.586,72.243,593.29,582.99,369.078,360.999,348.763
9,859.2,837.75,829,856.7,828.83,798.515,794.753,774.643,793.568,830.15,15.849,7.998,15.703,85.293,71.756,112.368,139.933,137.097,4.492,7.798,9.105,151.897,125.039,130.806,96.404,28.114,19.008,16.449,23.396,58.333,83.175,70.193,59.639,2.104,1.573,20.044,7.122,780.238,859.704,700.773,0.129,0.056,0.046,5.052,0.777,57.143,27.939,0.691,0.494,0.477,5818.5,3480.396,30.2,26.004,39.733,750.14,141.258,85,50.3,774.668,768.693,85.293,71.756,100,0.803,0.001,-24117.107,-24853.051,798.515,802.342,794.688,102.312,349.352,848.678,742.13,956.2,967.1,978,837.4,729.5,621.6,41.2,17.49,0,-0.003,67.069,59.103,843.646,814.014,509.177,478.287,450.607
6,1629.4,1615.059,1611.75,1622.85,1599.742,1590.927,1590.771,1589.394,1588.524,1634.142,3.042,-1.633,9.348,78.267,66.273,102.256,120.63,123.968,1.633,2.12,2.199,125.665,80.757,86.632,99.372,23.387,15.314,29.29,18.697,58.333,79.629,64.387,55.488,8.792,8.056,0.763,-3.567,1587.152,1622.233,1552.07,0.238,-0.014,-0.2,3.089,0.54,57.143,5.307,0.22,-0.13,-0.284,3192.322,1725.204,17.65,21.618,17.541,1563.17,218.908,41.691,15.257,1587.994,1589.734,78.267,66.273,100,0.586,-0.037,-42927.098,-43434.473,1590.927,1595.461,1586.393,99.842,163.867,1678.532,1500.184,1687.767,1695.833,1703.9,1613.267,1546.833,1480.4,48.63,1.306,-0.001,-0.002,60.974,56.204,1609.863,1589.621,2227.63,2210.384,2197.265
5,1402.45,1395.609,1376.99,1380.2,1388.638,1394.455,1382.17,1381.408,1358.969,1289.471,8.107,9.635,-3.056,34.539,46.536,10.546,93.06,95.266,-0.52,-0.916,0.242,93.03,118.183,118.825,109.46,22.489,22.297,10.828,21.793,58.333,41.799,49.273,53.399,62.903,50,26.263,25.408,1379.151,1422.369,1335.933,0.144,0.139,0.18,0.943,1.26,57.143,13.477,-0.002,0.111,0.22,-1425.488,-219.891,25.46,23.046,21.609,1368.494,-15.163,-18.509,-11.098,1375.963,1370.359,34.539,46.536,0,-0.129,0.19,-26640.676,-26530.906,1394.455,1399.061,1389.849,102.218,-273.478,1477.908,1314.48,1410.453,1454.856,1499.26,1342.143,1318.237,1294.33,12.9,18.998,0.002,0.001,40.69,49.458,1401.207,1376.069,1357.233,1371.299,1378.327
7,1587.029,1576.14,1569.92,1580.14,1586.764,1611.946,1640.378,1653.393,1665.362,1702.513,-24.201,-15.651,-17.101,17.169,15.857,19.793,70.043,67.962,-0.638,-2.552,-4.022,49.646,78.657,98.324,99.837,3.327,43.056,72.472,48.326,33.333,25.134,26.934,32.904,80.541,82.165,-45.803,-20.851,1649.503,1723.003,1576.002,-0.841,-0.816,-0.724,-5.802,-4.871,35.714,-57.481,-0.721,-0.461,-0.102,-3180.64,-3921.966,17.109,20.802,36.75,1643.551,-107.318,-54.689,-62.444,1659,1667.246,17.169,15.857,100,-0.904,-0.253,-47941.035,-47338.121,1611.946,1620.008,1603.885,98.011,92.71,1709.112,1524.206,1603.22,1707.38,1811.54,1474.87,1450.68,1426.49,-97.319,-39.666,-0.002,-0.001,33.07,33.383,1599.146,1574.382,2134.945,2142.306,2169.589
